Dia;Titulo;Subtitulo;CTA;Nome_Foto;Cor;Template;Endereco
01;Esse mix de pastas tá divino. 😋;;Vem provar no salão em Pinheiros.;AIMG_9331;#5C4033;A;R. Francisco Leitão, 77 - Pinheiros
02;Falafel com homus. Uma combinação que não erra.;;Vem provar no salão.;IMG_1092;#7A5C3E;B;R. Francisco Leitão, 77 - Pinheiros
03;Gyros bem servido, recheado do jeito certo.;É tudo o que você precisa hoje.;Passa aqui em Pinheiros.;IMG_1157-Editar;#5C3D2E;A;R. Francisco Leitão, 77 - Pinheiros
04;Lanche de falafel do jeito que tem que ser.;;Vem conhecer o salão.;IMG_1053;#7A5C3E;D;R. Francisco Leitão, 77 - Pinheiros
05;Arais crocante por fora, cheio por dentro.;;Passa em Pinheiros pra provar.;IMG_1032-2;#5C4033;B;R. Francisco Leitão, 77 - Pinheiros
06;Arais de chocolate pra adoçar o dia. 😋;;Vem provar no salão.;araischocolate;#7A5C3E;A;R. Francisco Leitão, 77 - Pinheiros
07;Três opções, uma escolha difícil.;;Passa aqui mais tarde.;AIMG_1237;#5C3D2E;D;R. Francisco Leitão, 77 - Pinheiros
08;Qual você escolheria pra sua primeira visita?;;(enquete: Gyros vs Lanche de falafel);IMG_1157-Editar;#7A5C3E;E;R. Francisco Leitão, 77 - Pinheiros
09;Arais de falafel grelhado na chapa. Impossível resistir.;;Vem provar no salão.;DSC00822;#5C4033;B;R. Francisco Leitão, 77 - Pinheiros
10;Falafel com homus, do jeitinho certo.;;Passa em Pinheiros.;IMG_1092;#7A5C3E;C;R. Francisco Leitão, 77 - Pinheiros
11;Pra sentar com calma e ir provando cada pastinha.;;Vem pro salão.;AIMG_9331;#5C3D2E;A;R. Francisco Leitão, 77 - Pinheiros
12;Lanche de falafel bem recheado. Começa por aqui. 😋;;Vem provar no salão.;IMG_1053;#7A5C3E;B;R. Francisco Leitão, 77 - Pinheiros
13;Gyros bem servido, daquele jeito que dá vontade.;;Passa em Pinheiros.;IMG_1157-Editar;#5C4033;D;R. Francisco Leitão, 77 - Pinheiros
14;Arais crocante. É sério, impossível comer só um.;;Vem provar no salão.;IMG_1032-2;#7A5C3E;A;R. Francisco Leitão, 77 - Pinheiros
15;Qual você escolheria hoje?;;(enquete: Arais de falafel vs Arais de chocolate);araischocolate;#5C3D2E;E;R. Francisco Leitão, 77 - Pinheiros
16;Arais de chocolate pra quem quer terminar bem o dia.;;Vem conhecer o salão.;araischocolate;#7A5C3E;B;R. Francisco Leitão, 77 - Pinheiros
17;Arais de falafel grelhado. Crocante por fora, cheio por dentro.;;Passa aqui em Pinheiros.;DSC00822;#5C4033;D;R. Francisco Leitão, 77 - Pinheiros
18;Falafel com homus bem caprichado.;;Vem provar no salão.;IMG_1092;#7A5C3E;A;R. Francisco Leitão, 77 - Pinheiros
19;Um gyros desses resolve o jantar. 😋;;Vem pro salão.;IMG_1157-Editar;#5C3D2E;B;R. Francisco Leitão, 77 - Pinheiros
20;Mesa de pastas pra começar bem.;;Vem provar no salão.;AIMG_9331;#7A5C3E;C;R. Francisco Leitão, 77 - Pinheiros
21;Lanche de falafel pra fechar o dia com algo bem gostoso.;;Passa aqui.;IMG_1053;#5C4033;D;R. Francisco Leitão, 77 - Pinheiros
22;De 0 a 10… quanto você encararia esse arais de chocolate agora? 😋;;(slider);araischocolate;#7A5C3E;E;R. Francisco Leitão, 77 - Pinheiros
23;Arais crocante. Recheio que aparece, vontade que não passa.;;Vem provar no salão.;IMG_1032-2;#5C3D2E;B;R. Francisco Leitão, 77 - Pinheiros
24;Arais de falafel grelhado. Simples assim.;;Vem provar no salão.;DSC00822;#7A5C3E;A;R. Francisco Leitão, 77 - Pinheiros
25;Se você ainda não provou o lanche de falafel daqui…;;Vem conhecer o Bubbeleh em Pinheiros.;IMG_1053;#5C4033;B;R. Francisco Leitão, 77 - Pinheiros
26;Fim de semana pede um lugar gostoso pra comer bem.;;Vem pro salão.;AIMG_1237;#7A5C3E;A;R. Francisco Leitão, 77 - Pinheiros
27;Arais de chocolate pra adoçar o fim de semana. 😋;;Vem provar no salão.;araischocolate;#5C3D2E;C;R. Francisco Leitão, 77 - Pinheiros
28;Tá em Pinheiros?;Vem provar um gyros. 😋;Vem sentar no salão.;IMG_1157-Editar;#7A5C3E;D;R. Francisco Leitão, 77 - Pinheiros
29;Qual você prova primeiro? 😋;;(quiz: Homus com falafel / Lanche de falafel / Arais / Gyros);AIMG_9331;#5C4033;E;R. Francisco Leitão, 77 - Pinheiros
30;Se você ainda não veio no Bubbeleh…;abril é uma ótima desculpa. 😋;Passa em Pinheiros.;IMG_1032-2;#7A5C3E;A;R. Francisco Leitão, 77 - Pinheiros
