Dia;Titulo;Subtitulo;CTA;Nome_Foto;Cor;Template;Endereco
01;Às vezes me perguntam qual é meu maior sonho…;O que eu penso:;;muçarela;#E8B800;B;Acesse pelo link da bio
02;Vai uma pizza daquelas caprichadas?;;Pedidos no link da bio!;babiduarte;#E8B800;D;Acesse pelo link da bio
03;Pizza feita com ingredientes de primeira.;Daquelas que chegam maravilhosas e com sabor de verdade.;Clique no link da bio e faça seu pedido!;calabresa;#E8B800;C;Acesse pelo link da bio
04;Já sabe o que vai pedir hoje?;A Fornon sempre resolve.;Peça já pelo link da bio.;IMG_9598;#1a1a1a;A;Acesse pelo link da bio
05;Pizza é aquele pedido que todo mundo topa, né?;Pra dividir e comer com a família em casa.;Acesse nosso cardápio clicando no link da bio!;muçarela;#E8B800;A;Acesse pelo link da bio
06;A inicial do amor da sua vida começa com a letra P;;;IMG_9598;#1a1a1a;C;Acesse pelo link da bio
07;Que tal uma Fornon pra melhorar sua noite?;;Pedidos no link da bio!;calabresa;#E8B800;D;Acesse pelo link da bio
08;Tem dia que a gente só quer uma pizza de verdade, né?;Muçarela bem feita, sem erro.;Clique no link da bio e faça seu pedido!;queijo;#E8B800;B;Acesse pelo link da bio
09;Qual você vai de primeira?;Frango c/ Catupiry ou Calabresa?;;IMG_9598;#1a1a1a;E;Acesse pelo link da bio
10;Para tudo e apreciem a pizza mais vendida aqui da casa;;Peça já a Babi Duarte clicando no link da bio!;babiduarte;#E8B800;D;Acesse pelo link da bio
11;Capricho que dá pra ver.;Pizza bem montada, do jeito certo.;Pedidos no link da bio!;calabresa;#E8B800;B;Acesse pelo link da bio
12;Fim de semana pede pizza boa;E aquela que chega bem recheada.;Peça já pelo link da bio.;IMG_9598;#1a1a1a;A;Acesse pelo link da bio
13;Pensamento aleatório do dia:;uma fatia bem quente agora ia bem demais;;queijo;#E8B800;C;Acesse pelo link da bio
14;Que tal encerrar o dia com pizza?;A partir das 18h a gente tá no forno.;Clique no link da bio e faça seu pedido!;babiduarte;#E8B800;A;Acesse pelo link da bio
15;Escolha rápida;você é do time…;;muçarela;#E8B800;E;Acesse pelo link da bio
16;Pizza bem feita começa na massa.;E termina no recheio caprichado.;Acesse nosso cardápio clicando no link da bio!;calabresa;#E8B800;B;Acesse pelo link da bio
17;Já tá sentindo o cheiro daí?;Porque aqui tá difícil resistir.;Pedidos no link da bio!;IMG_9598;#1a1a1a;D;Acesse pelo link da bio
18;Pra quem vai comer em família: essa aqui agrada todo mundo!;Bem servida e bem feita.;Peça já pelo link da bio.;muçarela;#E8B800;A;Acesse pelo link da bio
19;Tem clássico que não tem erro.;Calabresa bem caprichada;Clique no link da bio e faça seu pedido!;calabresa;#E8B800;B;Acesse pelo link da bio
20;Pessoa: "Qual é o seu maior vício?";Eu: "Comer pizza da Fornon";;babiduarte;#E8B800;C;Acesse pelo link da bio
21;Nada melhor que encerrar o dia com uma pizza, né?;Estamos abertos a partir das 18h.;Acesse nosso cardápio clicando no link da bio!;IMG_9598;#1a1a1a;A;Acesse pelo link da bio
22;De 0 a 10…;quanto você encararia uma fatia agora?;;queijo;#E8B800;E;Acesse pelo link da bio
23;Já garantiu sua pizza hoje?;Bem feita e bem recheada.;Pedidos no link da bio!;calabresa;#E8B800;D;Acesse pelo link da bio
24;Quando a pizza é bem feita, dá pra perceber no primeiro pedaço.;Capricho na primeira mordida.;Peça já pelo link da bio.;babiduarte;#E8B800;B;Acesse pelo link da bio
25;Às vezes tudo que você precisa é uma pizza de muçarela bem feita;Sem complicar, só pizza boa.;Clique no link da bio e faça seu pedido!;muçarela;#E8B800;A;Acesse pelo link da bio
26;Pra fechar o fim de semana do jeito certo…;Peça uma pizza bem caprichada em casa;Acesse nosso cardápio clicando no link da bio!;IMG_9598;#1a1a1a;C;Acesse pelo link da bio
27;Às vezes no silêncio da noite…;eu fico imaginando nós dois…;;calabresa;#E8B800;C;Acesse pelo link da bio
28;Qual sabor não pode faltar na noite de pizza?;;;babiduarte;#E8B800;E;Acesse pelo link da bio
29;Que tal uma pizza bem caprichada pra melhorar seu dia?;Cozinha funcionando a partir das 18h;Pedidos no link da bio!;muçarela;#E8B800;D;Acesse pelo link da bio
30;Se a fome apertou por aí, já sabe o que pedir…;;Acesse nosso cardápio clicando no link da bio!;IMG_9598;#1a1a1a;A;Acesse pelo link da bio
