Dia;Titulo;Subtitulo;CTA;Foto;Cor;Template;Endereco
01/04;Sabe quando bate aquela vontade de uma comida de verdade, né?;Bem feito, bem servido, caprichado.;Te esperamos no salão 😊;IMG_9697.jpg;#D32F2F;A;Estrada Galvão Bueno, 4648
02/04;Hoje o dia está perfeito pra comer uma comida bem servida 😋;;Peça por aqui! ✨;IMG_9697.jpg;#E8A030;B;Estrada Galvão Bueno, 4648
03/04;Vai uma parmegiana bem caprichada? 😋;;Pedidos no link da bio!;IMG_9698 (1).jpg;#C47B2B;C;Estrada Galvão Bueno, 4648
04/04;Nada melhor do que comer um almoço bem gostoso, né?;;Vem pro Gijo’s almoçar! 😋;IMG_9621.jpg;#8B4513;D;Estrada Galvão Bueno, 4648
05/04;Esse é um prato daqueles que não esperamos esfriar 🤭;;Vem pro salão se deliciar com nossa parmegiana!;IMG_9698 (1).jpg;#D32F2F;E;Estrada Galvão Bueno, 4648
06/04;Que tal um almoço bem caprichado pra melhorar seu dia?;Filé à milanesa com purê 😋;A partir das 11h, te esperamos.;DSC00441.jpg;#4CAF50;A;Estrada Galvão Bueno, 4648
07/04;Já sabe o que vai pedir hoje?;Nhoque bem servido, do jeito que a gente amaa!;Peça já pelo link da bio.;IMG_1845.jpg;#1976D2;B;Estrada Galvão Bueno, 4648
08/04;Tem dia que a gente só quer uma comida de verdade, né?;Massa bem caprichada 😋;Pedidos no link da bio!;IMG_9737.jpg;#D32F2F;C;Estrada Galvão Bueno, 4648
09/04;Já decidiu se vai vir aqui ou pedir?;Hoje tá com cara de almoço caprichado.;Acesse nosso cardápio no link da bio!;IMG_9732.jpg;#E8A030;D;Estrada Galvão Bueno, 4648
10/04;Hoje é dia de comer bem, vem pro Gijo’s!;Comida feita com muito carinho e capricho;Clique no link da bio e faça seu pedido!;DSC00441.jpg;#C47B2B;E;Estrada Galvão Bueno, 4648
11/04;Hoje o dia está perfeito pra comer uma comida daquelas 😋;Pra quem gosta de porção bem servida.;Te esperamos no salão!;IMG_9732.jpg;#D32F2F;A;Estrada Galvão Bueno, 4648
12/04;Perfeito pra quem quer comer bem e sair satisfeito.;Comida de verdade, do jeito que a gente ama;Vem pra Gijo’s! 😊;IMG_9697.jpg;#1976D2;B;Estrada Galvão Bueno, 4648
13/04;Que tal um almoço delicioso pra dar uma pausa no dia?;Nhoque bem servido 😋;Pedidos no link da bio!;IMG_1845.jpg;#4CAF50;C;Estrada Galvão Bueno, 4648
14/04;Já garantiu sua parmegiana do Gijo’s hoje?;Bem feito, bem servido, caprichado.;Clique no link da bio e peça!;IMG_9698 (1).jpg;#D32F2F;D;Estrada Galvão Bueno, 4648
15/04;Aquela panqueca que não tem erro 🤤;;Peça por aqui! ✨;IMG_9660.jpg;#E8A030;E;Estrada Galvão Bueno, 4648
16/04;Feche o dia com comida boa.;Bem feito, bem servido, caprichado.;Acesse nosso cardápio no link da bio!;IMG_9621.jpg;#C47B2B;A;Estrada Galvão Bueno, 4648
17/04;Hoje tá com cara de almoço caprichado.;Prato bem cremoso 😋;Te esperamos no salão 😊;IMG_9737.jpg;#D32F2F;B;Estrada Galvão Bueno, 4648
18/04;Vai um prato daqueles que você fica babando só de olhar?;Parmegiana bem caprichada 😋;Pedidos no link da bio!;IMG_9698 (1).jpg;#1976D2;C;Estrada Galvão Bueno, 4648
19/04;Tem dia que a gente só quer uma comida de verdade, né?;Macarrão bem servido 😋;;IMG_9737.jpg;#4CAF50;D;Estrada Galvão Bueno, 4648
20/04;Que tal um almoço bem caprichado pra melhorar seu dia?;Comida de verdade, bem servida.;A partir das 11h, te esperamos.;IMG_9697.jpg;#D32F2F;E;Estrada Galvão Bueno, 4648
21/04;De 0 a 10…;quanto você encararia esse prato agora? 😋;;IMG_9732.jpg;#E8A030;A;Estrada Galvão Bueno, 4648
22/04;Se a fome apertou por aí, já sabe o que pedir…;Bem feito, bem servido, caprichado.;Clique no link e faça seu pedido!;DSC00441.jpg;#C47B2B;B;Estrada Galvão Bueno, 4648
23/04;Já escolheu o prato de hoje?;Panqueca bem caprichada 😋;Acesse nosso cardápio no link da bio!;IMG_9660.jpg;#D32F2F;C;Estrada Galvão Bueno, 4648
24/04;Hoje o dia está perfeito pra comer uma comida bem servida;Prato bonito e porção que vale a pena.;Te esperamos no salão 😊;IMG_9698 (1).jpg;#1976D2;D;Estrada Galvão Bueno, 4648
25/04;Hoje é dia de comer bem, vem pro Gijo’s!;Ambiente familiar e comida de verdade.;;IMG_9697.jpg;#4CAF50;E;Estrada Galvão Bueno, 4648
26/04;O que é esse filé de frango com fritas? 👀🤤;;Pedidos no link da bio!;IMG_9621.jpg;#D32F2F;A;Estrada Galvão Bueno, 4648
27/04;Que tal um almoço delicioso pra dar uma pausa no dia?;Omelete bem servido 😋;Cozinha funcionando a partir das 11h;IMG_9732.jpg;#E8A030;B;Estrada Galvão Bueno, 4648
28/04;Já sabe o que vai pedir hoje?;Massa bem caprichada, daquele jeito 😋.;Corre pro link da bio e garanta o seu!;IMG_1845.jpg;#C47B2B;C;Estrada Galvão Bueno, 4648
29/04;Se no seu almoço pedir uma comida caprichada… a gente resolve.;Bem servido, no padrão Gijo’s;Clique no link da bio e peça!;IMG_9737.jpg;#D32F2F;D;Estrada Galvão Bueno, 4648
30/04;Já tá sentindo o cheiro daí? 😋;Vai um prato desses pra fechar o mês?;;IMG_9737.jpg;#1976D2;E;Estrada Galvão Bueno, 4648
